Train_Number_All,isReturn,isOneway,dept_datetime
I,1,0,2012/12/18
B,1,0,2019/3/20
K,1,0,2019/3/27
H,0,0,2001/10/19
H,0,0,2019/1/28
F,0,0,2018/11/19
D,1,0,2003/1/19
C,0,1,2018/10/28
B,0,1,2018/9/18
G,0,1,2007/12/18
G,0,1,2018/11/15
D,0,1,2011/1/18
B,0,1,2010/10/18
B,0,1,2006/1/19
K,0,1,2018/11/21
D,0,1,2012/3/18
D,0,1,2019/2/20
D,0,1,2019/1/15
N,0,1,2019/2/28
G,0,1,2019/3/31
C,0,1,2019/2/14
B,0,1,2012/10/18
G,0,1,2019/2/21
I,0,1,2006/4/19
D,0,0,2007/1/18
M,1,0,2018/12/13
L,1,0,2019/5/26
K,0,0,2005/2/19
D,0,0,2006/3/19
H,1,0,2019/1/28
M,1,0,2002/10/19
L,1,0,2001/8/19
M,1,0,2019/5/23
I,0,0,2019/6/26
G,0,0,2007/10/19
K,0,0,2019/2/14
A,1,0,2012/6/18
K,0,0,2018/7/31
D,0,0,2019/4/21
I,0,0,2018/9/18
E,1,0,2008/2/18
I,0,0,2018/10/17
K,0,0,2019/6/16
C,0,0,2018/8/19
B,0,0,2019/5/19
B,0,0,2005/1/19
I,0,0,2005/1/19
B,0,0,2001/6/19
A,0,1,2018/11/15
F,0,1,2018/9/24
F,0,1,2019/3/19
H,0,1,2018/10/30
F,0,1,2019/2/26
J,0,1,2005/8/19
E,0,1,2018/10/17
H,0,1,2001/3/19
A,0,1,2005/6/19
F,0,1,2019/1/27
E,0,1,2018/8/23
H,0,1,2019/3/19
A,0,1,2019/2/28
N,1,0,2019/3/28
C,1,0,2019/3/28
B,1,0,2001/10/19
A,0,0,2001/6/19
M,0,0,2002/10/19
E,0,0,2003/3/19
J,0,0,2018/10/28
K,1,0,2018/12/13
J,0,0,2019/6/13
D,1,0,2019/1/31
D,1,0,2007/12/19
D,1,0,2010/11/18
F,0,0,2007/12/18
E,0,0,2007/9/19
C,1,0,2018/10/15
G,1,0,2018/7/18
I,1,0,2019/1/23
K,1,0,2018/7/19
D,1,0,2018/7/19
F,0,0,2019/5/15
H,0,0,2018/11/29
G,1,0,2003/7/19
D,1,0,2009/6/18
I,1,0,2007/11/19
A,0,0,2018/8/27
G,1,0,2019/6/20
B,1,0,2018/8/13
B,1,0,2018/9/13
I,1,0,2018/9/13
C,1,0,2019/1/15
B,1,0,2019/1/17
D,1,0,2005/12/19
F,0,0,2019/4/24
L,0,0,2019/1/27
E,0,0,2019/4/23
F,0,0,2019/5/26
E,0,0,2019/5/13
G,1,0,2018/11/14
B,1,0,2018/9/13
J,0,0,2019/7/17
C,1,0,2011/1/18
G,1,0,2011/1/18
B,1,0,2010/4/18
C,1,0,2018/8/26
A,0,0,2019/4/29
J,0,0,2007/1/19
J,0,0,2019/7/16
B,1,0,2018/7/15
E,0,0,2019/6/19
G,1,0,2007/4/19
E,0,0,2004/9/19
L,0,0,2019/2/18
L,0,0,2019/5/27
C,1,0,2012/4/18
E,0,0,2019/4/28
C,1,0,2018/11/22
M,0,0,2019/5/26
G,1,0,2018/9/20
D,1,0,2019/2/28
J,0,0,2018/7/17
E,0,0,2019/3/17
E,0,0,2019/1/23
L,0,0,2019/2/19
C,1,0,2019/1/31
G,1,0,2007/12/18
C,1,0,2003/5/19
C,1,0,2018/7/17
G,1,0,2004/9/19
F,0,0,2018/7/16
E,0,0,2019/3/27
J,0,0,2019/5/21
L,0,0,2019/5/29
C,1,0,2019/5/29
D,1,0,2019/6/19
L,0,0,2018/8/27
F,0,0,2018/10/22
J,0,0,2012/12/18
D,1,0,2006/5/19
J,0,0,2004/7/19
N,1,0,2010/3/18
D,1,0,2019/1/30
A,0,0,2018/9/23
J,0,0,2010/3/18
F,0,0,2019/1/16
B,1,0,2019/3/28
C,1,0,2018/8/30
E,0,0,2005/7/19
G,1,0,2019/1/31
E,0,0,2018/7/18
F,0,0,2018/7/18
F,0,0,2018/10/29
E,0,0,2012/12/18
G,1,0,2019/1/29
C,1,0,2019/6/26
B,1,0,2007/12/19
B,1,0,2002/3/19
D,1,0,2018/10/21
F,0,0,2018/8/16
A,0,0,2019/6/17
F,0,0,2019/1/22
G,1,0,2009/5/18
E,0,0,2011/1/18
C,1,0,2019/2/20
B,1,0,2018/11/21
L,0,0,2018/8/26
L,0,0,2010/7/18
B,1,0,2018/9/19
B,1,0,2005/7/19
D,1,0,2019/3/29
E,0,0,2018/7/30
H,0,0,2018/7/30
I,1,0,2018/10/28
C,1,0,2019/5/22
D,1,0,2018/6/26
F,0,0,2019/6/26
M,0,0,2019/1/16
I,1,0,2003/10/19
F,0,0,2003/5/19
K,1,0,2008/2/18
I,1,0,2018/10/24
C,1,0,2011/8/18
H,0,0,2018/10/23
H,0,0,2018/7/22
A,0,0,2011/11/18
F,0,0,2018/8/19
B,1,0,2008/12/18
G,1,0,2018/11/26
H,0,0,2003/6/19
J,0,0,2018/11/21
C,1,0,2004/10/19
F,0,0,2004/8/19
F,0,0,2006/12/19
D,1,0,2019/2/21
C,1,0,2019/7/14
A,0,0,2018/7/15
C,1,0,2018/9/20
C,1,0,2012/11/18
B,1,0,2008/2/18
G,1,0,2018/8/27
N,1,0,2003/5/19
C,1,0,2019/5/25
I,1,0,2008/12/18
B,1,0,2011/1/18
I,1,0,2018/10/26
C,1,0,2012/12/18
B,1,0,2019/2/28
H,0,0,2018/6/21
F,0,0,2010/7/18
C,1,0,2018/10/31
E,0,0,2018/7/29
F,0,0,2011/12/18
C,1,0,2008/8/18
C,1,0,2005/7/19
J,0,0,2018/11/14
F,0,0,2019/5/20
B,1,0,2012/11/18
G,1,0,2018/8/28
C,1,0,2018/8/28
B,1,0,2019/2/21
B,1,0,2019/3/27
G,1,0,2019/3/27
G,1,0,2004/3/19
C,1,0,2019/5/23
J,0,0,2019/5/30
D,1,0,2019/1/17
F,0,0,2018/11/20
N,1,0,2012/10/18
I,1,0,2005/5/19
B,1,0,2019/6/27
L,0,0,2019/3/20
H,0,0,2005/6/19
A,0,0,2019/5/14
I,1,0,2019/1/29
C,1,0,2018/8/15
D,1,0,2019/3/24
E,0,0,2004/7/19
N,1,0,2018/12/17
F,0,0,2003/4/19
F,0,0,2018/7/23
C,1,0,2001/9/19
G,1,0,2012/4/18
F,0,0,2003/5/19
H,0,0,2005/5/19
B,1,0,2018/8/30
D,1,0,2009/12/18
H,0,0,2019/6/27
A,0,0,2001/9/19
M,0,0,2001/9/19
L,0,0,2018/8/19
C,1,0,2018/11/28
E,0,0,2018/11/20
K,1,0,2018/10/25
L,0,0,2018/7/16
C,1,0,2006/5/19
C,1,0,2012/11/18
D,1,0,2018/8/17
C,1,0,2019/1/16
E,0,0,2012/3/18
B,1,0,2018/6/28
C,1,0,2019/1/30
A,0,0,2018/7/24
A,0,0,2019/6/23
B,1,0,2008/1/18
C,1,0,2019/1/22
K,1,0,2019/2/28
N,1,0,2003/12/19
I,1,0,2019/3/21
K,1,0,2006/5/19
J,0,0,2003/12/19
L,0,0,2019/6/19
J,0,0,2012/5/18
N,1,0,2018/6/27
C,1,0,2011/11/18
C,1,0,2019/3/27
K,1,0,2018/6/28
E,0,0,2019/2/13
I,1,0,2019/5/26
C,1,0,2018/9/19
C,1,0,2008/1/18
L,0,0,2019/1/13
H,0,0,2019/3/19
B,1,0,2019/3/13
F,0,0,2019/5/28
F,0,0,2019/2/18
I,1,0,2004/11/19
G,1,0,2019/7/18
C,1,0,2018/8/22
J,0,0,2018/8/26
J,0,0,2018/10/14
C,1,0,2019/6/18
G,1,0,2018/9/13
B,1,0,2018/9/23
G,1,0,2010/7/18
I,1,0,2018/12/13
F,0,0,2018/8/28
F,0,0,2012/12/18
D,1,0,2008/8/18
I,1,0,2019/5/19
J,0,0,2003/4/19
E,0,0,2018/8/26
B,1,0,2012/6/18
B,1,0,2018/7/25
I,1,0,2019/1/17
I,1,0,2019/2/28
C,1,0,2003/7/19
B,1,0,2007/4/19
D,1,0,2001/10/19
C,1,0,2019/6/19
C,1,0,2019/6/20
A,0,0,2018/10/28
F,0,0,2004/1/19
E,0,0,2019/7/14
J,0,0,2019/6/30
D,1,0,2018/11/29
G,1,0,2018/12/13
J,0,0,2018/10/18
C,1,0,2010/4/18
B,1,0,2019/1/23
G,1,0,2019/1/24
I,1,0,2019/3/28
C,1,0,2005/1/19
C,1,0,2019/5/22
E,0,0,2005/6/19
H,0,0,2018/12/19
B,1,0,2018/10/24
F,0,0,2019/4/29
G,1,0,2018/11/27
C,1,0,2004/4/19
E,0,0,2019/6/17
F,0,0,2009/2/18
B,1,0,2019/5/19
E,0,0,2007/7/19
F,0,0,2019/3/25
C,1,0,2018/11/13
G,1,0,2009/12/18
F,0,0,2019/2/20
J,0,0,2019/6/17
C,1,0,2019/7/18
B,1,0,2018/7/26
G,1,0,2019/1/17
F,0,0,2012/9/18
L,0,0,2001/6/19
A,0,0,2003/12/19
D,1,0,2018/10/31
G,1,0,2003/3/19
H,0,0,2019/1/23
I,1,0,2018/11/23
I,1,0,2019/2/21
D,1,0,2019/2/21
H,0,0,2004/4/19
C,1,0,2009/6/18
B,1,0,2006/12/19
C,1,0,2006/12/19
N,1,0,2008/8/18
C,1,0,2018/11/21
B,1,0,2007/4/19
E,0,0,2018/8/27
J,0,0,2019/2/24
J,0,0,2011/11/18
L,0,0,2009/2/18
M,0,0,2019/3/17
G,1,0,2012/12/18
J,0,0,2019/5/28
G,1,0,2018/10/24
E,0,0,2018/10/21
B,1,0,2019/3/28
D,1,0,2011/1/18
B,1,0,2008/8/18
C,1,0,2008/8/18
G,1,0,2008/12/18
N,1,0,2018/11/26
G,1,0,2012/11/18
B,1,0,2019/2/20
I,1,0,2004/4/19
H,0,0,2006/10/19
B,1,0,2018/9/20
H,0,0,2009/6/18
E,0,0,2019/4/22
H,0,0,2019/1/23
H,0,0,2019/5/27
G,1,0,2005/7/19
C,1,0,2007/10/19
D,1,0,2007/11/19
J,0,0,2018/10/14
E,0,0,2019/1/28
E,0,0,2007/2/19
C,1,0,2018/7/19
I,1,0,2018/10/16
C,1,0,2019/1/23
M,0,0,2018/10/31
H,0,0,2018/10/31
I,1,0,2018/6/21
C,1,0,2019/2/21
K,1,0,2019/6/27
E,0,0,2018/10/15
G,1,0,2019/2/20
E,0,0,2019/6/18
J,0,0,2018/6/25
H,0,0,2018/11/15
E,0,0,2007/3/18
J,0,0,2011/1/18
H,0,0,2019/1/20
K,1,0,2018/11/22
I,1,0,2012/6/18
H,0,0,2018/11/22
H,0,0,2018/10/15
C,1,0,2019/2/27
G,1,0,2006/5/19
C,1,0,2011/7/18
M,0,0,2011/6/18
F,0,0,2010/9/18
F,0,0,2018/11/13
L,0,0,2018/9/25
E,0,0,2009/3/18
C,1,0,2010/7/18
G,1,0,2018/11/28
J,0,0,2010/8/18
L,0,0,2009/9/18
M,0,0,2019/3/25
B,1,0,2018/11/14
D,1,0,2018/11/14
G,1,0,2019/1/16
C,1,0,2003/4/19
J,0,0,2019/4/25
A,0,0,2018/7/26
E,0,0,2011/12/18
D,1,0,2005/5/19
B,1,0,2010/7/18
B,1,0,2007/8/19
